fips,cnty_name,st_name,contribution,year
39095,Lucas County,Ohio,1115209.9,2018
39097,Madison County,Ohio,3690,2018
39099,Mahoning County,Ohio,964361.68,2018
39101,Marion County,Ohio,8690,2018
39103,Medina County,Ohio,724500.89,2018
39105,Meigs County,Ohio,8143,2018
39107,Mercer County,Ohio,11434.45,2018
39109,Miami County,Ohio,228690.44,2018
39111,Monroe County,Ohio,43341,2018
39113,Montgomery County,Ohio,1267909.69,2018
39115,Morgan County,Ohio,45354.38,2018
39117,Morrow County,Ohio,23437.5,2018
39119,Muskingum County,Ohio,167490.87,2018
39121,Noble County,Ohio,325,2018
39123,Ottawa County,Ohio,125705.2,2018
39125,Paulding County,Ohio,48467.67,2018
39127,Perry County,Ohio,6272.67,2018
39129,Pickaway County,Ohio,6225.33,2018
39131,Pike County,Ohio,46574.09,2018
39133,Portage County,Ohio,879932.95,2018
39135,Preble County,Ohio,18042.7,2018
39137,Putnam County,Ohio,30183.68,2018
39139,Richland County,Ohio,81793.86,2018
39141,Ross County,Ohio,7991.28,2018
39143,Sandusky County,Ohio,13427.78,2018
39145,Scioto County,Ohio,94780.62,2018
39147,Seneca County,Ohio,102967.86,2018
39149,Shelby County,Ohio,15218.66,2018
39151,Stark County,Ohio,1110593.27,2018
39153,Summit County,Ohio,2173667.14,2018
39155,Trumbull County,Ohio,392532.41,2018
39157,Tuscarawas County,Ohio,262915.41,2018
39161,Van Wert County,Ohio,20096.59,2018
39163,Vinton County,Ohio,2700,2018
39165,Warren County,Ohio,445169.96,2018
39167,Washington County,Ohio,144564.42,2018
39169,Wayne County,Ohio,50236.5,2018
39171,Williams County,Ohio,7244.37,2018
39173,Wood County,Ohio,355729.29,2018
39175,Wyandot County,Ohio,49210.6,2018
39001,Adams County,Ohio,12010,2017
39003,Allen County,Ohio,209034.86,2017
39005,Ashland County,Ohio,195192.91,2017
39007,Ashtabula County,Ohio,102150.57,2017
39009,Athens County,Ohio,61197.81,2017
39011,Auglaize County,Ohio,51377.89,2017
39013,Belmont County,Ohio,73664.63,2017
39015,Brown County,Ohio,13449.48,2017
39017,Butler County,Ohio,568341.02,2017
